source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
cafe,arabica-e1ef51,% Arabica,% Arabica,Q107639197,001,,0,% Arabica,arabica,only_png,,arabica.png
clothes,andotherstories-3937bd,& Other Stories,& Other Stories,Q85322338,001,,0,& Other Stories,other-stories,only_png,,other-stories.png
fast_food,andpizza-4d2ff4,&pizza,&pizza,Q21189222,us,,0,&pizza,pizza,both,pizza.svg,pizza.png
restaurant,tzusje-2b67bf,'t Zusje,'t Zusje,Q108920510,nl,,0,'t Zusje,t-zusje,only_png,,t-zusje.png
pharmacy,06361d-996e17,1 Соціальна Аптека,1 Соціальна Аптека,Q102174405,ua,,4,1 Соціальна Аптека,1,no,,
alcohol,1day-41aec7,1. day,1. day,Q108149927,sk,,1,1. day,1-day,only_png,,1-day.png
convenience,1011-ead397,10-11,10-11,Q65336720,is,,0,10-11,10-11,only_png,,10-11.png
restaurant,100montaditos-f7c5fe,100 Montaditos,100 Montaditos,Q8355805,es|it|pt|us,,0,100 Montaditos,100-montaditos,only_png,,100-montaditos.png
variety_store,100houselemon-e1b193,100えんハウス レモン,100えんハウス レモン,Q43305392,jp,,0,100えんハウス レモン,100,no,,
chemist,101drogerie-a99570,101 Drogerie,101 Drogerie,Q67197464,sk,,0,101 Drogerie,101-drogerie,only_png,,101-drogerie.png
convenience,108shop-f572b3,108 Shop,108 Shop,Q4546767,th,,0,108 Shop,108-shop,no,,
cinema,109cinemas-35c174,109シネマズ,109シネマズ,Q10854269,jp,,0,109シネマズ,109,no,,
restaurant,110grill-96af40,110 Grill,110 Grill,Q121292194,us,,0,110 Grill,110-grill,only_png,,110-grill.png
furniture,1825interiors-0da980,1825 Interiors,1825 Interiors,Q111080640,au,,0,1825 Interiors,1825-interiors,only_png,,1825-interiors.png
convenience,1ststop-f1e40b,1st Stop,1st Stop,Q65706152,us,,1,1st Stop,1st-stop,no,,
cafe,alittletea-3300f4,1点点,1点点,Q136345714,cn,,1,1点点,1,no,,
tobacco,0b3858-0cd077,20 грамм,20 грамм,,ru,,0,20 грамм,20,no,,
fast_food,21plus-60a4d5,21風味館,21風味館,Q28416350,tw,,4,21風味館,21,no,,
hardware,220volt-8cf3c0,220 вольт,220 вольт,Q18635304,by|ru,,0,220 вольт,220,no,,
fast_food,241pizza-e49d2e,241 Pizza,241 Pizza,Q4631768,ca,,0,241 Pizza,241-pizza,both,241-pizza.svg,241-pizza.png
mobile_phone,2degrees-5219b0,2degrees,2degrees,Q4633463,nz,,1,2degrees,2degrees,only_png,,2degrees.png
second_hand,2ndstreet-167281,2nd STREET,2nd STREET,Q11314186,hk|my|sg|th|tw|us,,0,2nd STREET,2nd-street,only_png,,2nd-street.png
restaurant,3brasseurs-17e7d6,Les 3 Brasseurs (Brasil/France/Quebec),3 Brasseurs,Q3230326,br|ca-qc.geojson|fr,,0,3 Brasseurs,3-brasseurs,only_png,,3-brasseurs.png
restaurant,3brewers-f8643e,3 Brewers (Ontario),3 Brasseurs,Q3230326,ca-on.geojson,,0,3 Brasseurs,3-brasseurs,only_png,,3-brasseurs.png
mobile_phone,3store-dbafb9,3 Store (Ireland),3 Store,Q19840921,ie,,3,3 Store,3-store,only_png,,3-store.png
ice_cream,baskinrobbins-cc8b8b,31冰淇淋,31冰淇淋,Q584601,tw,,0,31冰淇淋,31,no,,
ice_cream,fd1d7e-3c9560,33 пингвина,33 пингвина,Q110147993,by|kg|kz|ru|uz,,0,33 пингвина,33,no,,
pharmacy,366-288c27,"36,6","36,6",Q226889,ru,,1,"36,6",36-6,both,36-6.svg,36-6.png
pharmacy,366-6b8b1e,36.6,36.6,Q131746590,ge,,0,36.6,36-6,both,36-6.svg,36-6.png
clothes,04f53b-88aa58,361度,361度,Q10846067,cn,,0,361度,361,no,,
cafe,365-4351d9,365,365,Q135921692,es,,0,365,365,no,,
supermarket,365discount-072052,365discount,365discount,Q104671354,dk,,2,365discount,365discount,no,,
mobile_phone,3butiken-5d1f83,3Butiken (Sweden),3Butiken,Q10523825,se,,2,3Butiken,3butiken,only_png,,3butiken.png
variety_store,3coins-e1b193,3COINS,3COINS,Q60997353,jp,,0,3COINS,3coins,only_png,,3coins.png
supermarket,3hreesixty-745f9c,3hreeSixty,3hreeSixty,Q7797310,hk,,1,3hreeSixty,3hreesixty,only_png,,3hreesixty.png
